c014400	John Anderson.
c014401	I'm sorry. I'll get you a new player.
c014402	That's taking place outside now.
c014403	it's hard to say, but i do love foxtrot and waltz.
c014404	Wait a few minutes and I'll go there with you.
c014405	hello fello AMERICANS
c014406	can i get some:)
c014407	What could have done this?
c014408	We believe you, Woody. Right, Rex?
c014409	I would be proud of her too! Hopefully her success continues. You sound like a good friend!
c014410	Sure. We have lemon pies, apple pies, coffee rum pies and ice cream.
c014411	Wow.You must feel angry about that
c014412	Thanks a lot. Good-bye.
c014413	A princess?
c014414	Nothing you can say will upset me.
c014415	Nice, amazing to witness birth
c014416	I'm just being realistic.
c014417	Roger that. Time to kick some ass!
c014418	Does anybody out there want something to drink?
c014419	sive
c014420	I just wanted to say thanks for putting us on the map so fast. I appreciate it.
c014421	Peter, it's time to go home now! Hurry up!
c014422	You will get in and do great things!
c014423	That sounds like a good deal.
c014424	What about other expenses?
c014425	Fantastic! The whole city is echoing with crackling sounds!
c014426	What are his qualifications besides being a white male and directing a hot new sexy freaky Madonna video?
c014427	Have you seen Calloway?
c014428	I'm fine, dad.
c014429	Ok, you could try the Peking wonton then.
c014430	There's something else, Major..
c014431	I think so. I'm praying that they are going to give me a raise!
c014432	Look, I know this chick Niki. She works at Les Girls. She would know. Honest.
c014433	ill killl anyone if i see them
c014434	Is there a cheaper bus pass?
c014435	ahhh lag
c014436	there is nothing here
c014437	What is parvo?
c014438	The best we can do will be a reduction of another 30 dollars. That'll definitely be rock bottom.
c014439	How can one stay married for 10 years without cheating?
c014440	Oh, that's very considerate of you. I'lI take your word for it.
c014441	Ah, damn -- the fucking jerks -- My, God. They want to fire me.
c014442	I know what you're doing.
c014443	That happens sometimes. Was it mistaken for something that might have been sitting there forever?
c014444	Thanks. I really appreciate it.In fact, I do need a letter of recommendation for this scholarship.
c014445	I defended meself
c014446	My friend used to be such a nobody until he got a job and girlfriend out of nowhere!
c014447	got our pickaxe swinging from side to side
c014448	give me a r
c014449	Did I say thanks?
c014450	What do you think of the plan for the new airport near here?
c014451	that must be pretty frustrating
c014452	no they are lying it is 1.19.9
c014453	Oh.. excuse me. There's Nicholas.
c014454	I managed to spook myself really bad once watching too many horror movies and being in a house alone by the woods.
c014455	It was a scratch off. I don't normally buy lotto tickets so it's why I'm so excited! Didn't expect it.
c014456	don't be stupid man
c014457	yes! I fast as well everyday..so i enjoy my food even more
c014458	Are you in charge, Roper?
c014459	Shut up! Sorry, dear, I lost control for a minute.
c014460	Ain't no whisky, is they?
c014461	Well, I gave you the solution right there, buckaroo. All ya gotta do is execute.
c014462	May we stay here for a while? We'd like to rest.
c014463	It can be really dangerous too
c014464	OK, that'd be very nice.
