c002100	You knew..?
c002101	Why do you keep lying to me?
c002102	That's good.Well, these are for you. I hope you will like them.
c002103	Oh. Sure. Of course you'd want to know how your kid is cooking.
c002104	Nice, when does the new game come out? Or is it already out haha
c002105	I love my cat, but she is driving me crazy constantly rubbing up against my face. I have so much cat hair in my nose.
c002106	thats my last one
c002107	she noticed but brought it to my attention discreetly..we were on a double date..haha
c002108	we dont know where it went
c002109	Oh dear. Maybe you don't need a man - I'm one and can confirm that they are messy, noisy and rude.
c002110	Does 7 o'clock suit you?
c002111	I'll put this past my boss
c002112	is that not what this is?
c002113	I shall go no further
c002114	Oh where are you going? Is it a long trip?
c002115	Wednesdays, why is that? I used to love Wednesdays because we always got out of school an hour early
c002116	You haven't been doing anything stupid, right, Dade? Right, Dade?!
c002117	Eddie, come on.
c002118	r/im14andthisisdeep
c002119	Okay, then. We'll be back around noon.
c002120	I lived in an apartment complex and there was a pool, so I loved swimming.
c002121	Oh, front row tickets make it even better! Have a great time.
c002122	iron sh!t
c002123	smhiato
c002124	after the vid 2
c002125	Yes you will! That's a great attitude
c002126	Shirley and I come here regularly. I love romantic lingerie.
c002127	They already know we're here.
c002128	I know. It's such a shame they all had to die.
c002129	No I'm not, but in away we all are in a very dangerous place, aren't we?
c002130	unloaded chunks
c002131	Excuse me! Does this bus go to the railway station?
c002132	cant say
c002133	We should head over.
c002134	I know. Sometimes it's hard to have some left over after bills. What are you saving for?
c002135	dont tell him
c002136	that sounds good
c002137	I wish I knew what you think I know.
c002138	I am so glad that I wake up every day!
c002139	k jimmy dolpin ill be back
c002140	Well, you should try my store. The prices are good.
c002141	Yes, you are responsible for keeping all files in order.
c002142	in diffrent versions
c002143	My nephew just had his birthday party, and I loved seeing how happy he gets when he opens his gifts.
c002144	Most definitely. We actually need these resources to get mentally disturbed people off the streets and get them the help they deserve.
c002145	u are what you eat
c002146	Nothing about him, unless he's got a problem about me dealing with you.
c002147	Is it about Jacqueline?
c002148	how does one do that?
c002149	That should be a good trip for you. Ever been there?
c002150	No I'm taking my girlfriend with me. I can't wait!
c002151	called a hornse
c002152	It's like yeah whatever. But when you fuck. You wanna fuck that person. You're like ripping each other's hair out. Ooooh.
c002153	That's awesome, she sounds multi faceted.
c002154	jagaro can i use the op shovel whe youre building
c002155	no no known dupes
c002156	Oh no. How did you handle having two such big priorities come up?
c002157	what were the coords again?
c002158	I had to blow my nose.
c002159	How 'bout giving me "the tour"?
c002160	Cokes, seven-ups.. also some aspirin..
c002161	i thought mods were only here?
c002162	not for sail
c002163	xx follow me
c002164	What concert is it? Are you excited to go?
c002165	No. The company pays for everything. Doesn't this sound very attractive? This is why our company can always get the best employees!
c002166	Yeah, I honestly didn't expect her to pay it back. My level of trust with her has rose for sure
c002167	1 em
